# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 690	Session imported from “Block4.txt”	690	PSC_2mm_reversecurrent	188.2978	159.5649	182.5360	-0.7678	0.3127	0.5592	-0.1819	-0.9433	0.2778	0.6143	0.1116	0.7811	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:43.916	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 691	Session imported from “Block4.txt”	691	PSC_2mm_reversecurrent	187.3009	160.1734	183.2825	-0.7691	0.3155	0.5559	-0.1827	-0.9419	0.2818	0.6125	0.1152	0.7820	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:44.919	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 692	Session imported from “Block4.txt”	692	PSC_2mm_reversecurrent	186.9259	159.9721	183.6197	-0.7728	0.3136	0.5517	-0.1784	-0.9417	0.2854	0.6090	0.1222	0.7837	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:45.923	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 693	Session imported from “Block4.txt”	693	PSC_2mm_reversecurrent	189.2080	157.4943	182.2597	-0.7786	0.3041	0.5490	-0.1731	-0.9449	0.2780	0.6032	0.1214	0.7883	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:47.023	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 694	Session imported from “Block4.txt”	694	PSC_2mm_reversecurrent	187.4118	159.2063	183.3256	-0.7779	0.3585	0.5161	-0.2255	-0.9258	0.3033	0.5866	0.1196	0.8010	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:57.816	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 695	Session imported from “Block4.txt”	695	PSC_2mm_reversecurrent	187.4434	159.4169	183.2702	-0.7665	0.3520	0.5372	-0.2154	-0.9289	0.3013	0.6050	0.1152	0.7878	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:58.818	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 696	Session imported from “Block4.txt”	696	PSC_2mm_reversecurrent	187.4995	159.1005	183.2680	-0.7646	0.3536	0.5389	-0.2149	-0.9281	0.3041	0.6077	0.1167	0.7856	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:42:59.822	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 697	Session imported from “Block4.txt”	697	PSC_2mm_reversecurrent	187.4458	159.5562	183.2488	-0.7674	0.3517	0.5362	-0.2139	-0.9287	0.3031	0.6045	0.1179	0.7878	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:00.824	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 698	Session imported from “Block4.txt”	698	PSC_2mm_reversecurrent	187.8296	159.2261	182.9707	-0.7680	0.3574	0.5314	-0.2117	-0.9248	0.3161	0.6044	0.1303	0.7859	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:11.715	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 699	Session imported from “Block4.txt”	699	PSC_2mm_reversecurrent	187.8204	159.0317	183.0209	-0.7673	0.3604	0.5304	-0.2144	-0.9237	0.3175	0.6044	0.1299	0.7860	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:12.718	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 700	Session imported from “Block4.txt”	700	PSC_2mm_reversecurrent	187.9830	159.1023	182.8811	-0.7593	0.3609	0.5414	-0.2139	-0.9243	0.3162	0.6145	0.1243	0.7790	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:13.721	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 701	Session imported from “Block4.txt”	701	PSC_2mm_reversecurrent	187.7600	159.3923	183.0065	-0.7617	0.3632	0.5366	-0.2153	-0.9230	0.3190	0.6111	0.1274	0.7812	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:14.724	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 702	Session imported from “Block4.txt”	702	PSC_2mm_reversecurrent	187.7195	159.2667	183.0601	-0.7682	0.3649	0.5260	-0.2049	-0.9186	0.3380	0.6065	0.1519	0.7804	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:25.617	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 703	Session imported from “Block4.txt”	703	PSC_2mm_reversecurrent	187.8420	159.0485	183.0006	-0.7683	0.3658	0.5252	-0.2052	-0.9180	0.3393	0.6063	0.1529	0.7804	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:26.620	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 704	Session imported from “Block4.txt”	704	PSC_2mm_reversecurrent	187.8341	159.2287	182.9664	-0.7710	0.3653	0.5217	-0.2034	-0.9175	0.3418	0.6035	0.1574	0.7817	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:27.623	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 705	Session imported from “Block4.txt”	705	PSC_2mm_reversecurrent	188.0069	159.4206	182.7900	-0.7690	0.3630	0.5262	-0.2011	-0.9187	0.3399	0.6068	0.1556	0.7795	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:28.626	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 706	Session imported from “Block4.txt”	706	PSC_2mm_reversecurrent	188.3022	159.3331	182.5858	-0.7648	0.3207	0.5587	-0.1612	-0.9350	0.3160	0.6237	0.1516	0.7668	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:39.518	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 707	Session imported from “Block4.txt”	707	PSC_2mm_reversecurrent	187.7874	159.1392	183.0213	-0.7632	0.3359	0.5521	-0.1648	-0.9272	0.3363	0.6248	0.1657	0.7630	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:40.520	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 708	Session imported from “Block4.txt”	708	PSC_2mm_reversecurrent	187.9057	159.1715	182.9240	-0.7585	0.3457	0.5525	-0.1738	-0.9243	0.3397	0.6281	0.1616	0.7612	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:41.523	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 709	Session imported from “Block4.txt”	709	PSC_2mm_reversecurrent	187.9168	159.2277	182.9027	-0.7445	0.3515	0.5675	-0.1783	-0.9240	0.3384	0.6433	0.1508	0.7506	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:42.526	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 710	Session imported from “Block4.txt”	710	PSC_2mm_reversecurrent	188.3056	160.7296	182.3469	-0.7513	0.3660	0.5492	-0.2040	-0.9202	0.3341	0.6276	0.1390	0.7660	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:53.430	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 711	Session imported from “Block4.txt”	711	PSC_2mm_reversecurrent	187.7039	160.1230	182.9474	-0.7436	0.3685	0.5579	-0.2083	-0.9206	0.3304	0.6353	0.1295	0.7613	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-02	12:43:54.531	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
